单间 | 下关五塘白云雅居 3室1厅 主卧 精装修 可办居住证,白云雅居,1000,http://short.58.com/zd_p/492c54a8-9087-442b-abf0-9c94f08a3044/?target=oc-16-xgk_ephv_83127963920432q-feykn&end=end
整租 | 天润城第十六街区 2室0厅1卫,天润城第十六街区,1300,http://nj.58.com/zufang/32626070621742x.shtml
单间 | 香溢紫郡雅苑二期高新-浦口主卧900元/月,新城香溢紫郡雅苑,900,http://nj.58.com/hezu/29528663923269x.shtml
单间 | 恒安嘉园 3室1厅1卫 男女不限,科学园,900,http://nj.58.com/hezu/32655471816775x.shtml
单间 | 【非中介】柳州东路明发三期精装单间600元 可长租短,明发滨江新城三期,600,http://nj.58.com/hezu/32291923788603x.shtml
单间 | 精装 朝南次卧 配阳台 厨房随时入住。短租两个月,南大和园,1100,http://nj.58.com/hezu/32092581898029x.shtml
单间 | 一号线迈皋桥 独立阳台 超大空间 时尚装修 非中介,鼓楼,1200,http://nj.58.com/hezu/32623170504892x.shtml
整租 | 幸福城杜鹃圆 3室1厅1卫,马群,1950,http://nj.58.com/zufang/24305984097083x.shtml
单间 | 新出天润城第十四街区 3室2厅1卫好房源,桥北,750,http://nj.58.com/hezu/31164223077182x.shtml
单间 | 秣陵欣旺花苑 3室1厅1卫 限男生,秣陵,500,http://nj.58.com/hezu/32633688545599x.shtml
单间 | 【个人出租】明发一期精装单间600元 可长租短租,明发滨江新城一期,600,http://nj.58.com/hezu/32291954463789x.shtml
整租 | 天坛新村 2室2厅1卫,天坛新村,1900,http://nj.58.com/zufang/32347037830338x.shtml
单间 | 雨花台宁南银杏山庄 4室1厅 次卧 朝南 精装修,银杏山庄,900,http://nj.58.com/hezu/32645227888310x.shtml
单间 | 个人出租 竹山路地铁 蓝天公寓3居中的其中一间 家电,蓝天公寓,900,http://nj.58.com/hezu/32525152490045x.shtml
单间 | 个人出租 莲花新城南苑精装修 家电家具齐全 靠近地铁,莲花新城南苑,800,http://nj.58.com/hezu/32312972426949x.shtml
整租 | 中南园 2室1厅1卫,中南园,2800,http://nj.58.com/zufang/32633114446377x.shtml
单间 | 新街口地铁五站地铁 青秀城 男女不限 押一付一,中铁青秀城,1130,http://nj.58.com/hezu/32368217731525x.shtml
单间 | 江宁武夷商城风尚次卧 朝南 精装修拎包即住地铁一百米,武夷商城风尚阁,700,http://nj.58.com/hezu/27712568089644x.shtml
单间 | 莲花新城南苑油坊桥地铁附近小区合租,莲花新城南苑,750,http://nj.58.com/hezu/32478591619770x.shtml
单间 | 凤凰街84号小区 1室1卫 限女生,凤凰街84号小区,2000,http://nj.58.com/hezu/32655473546561x.shtml
单间 | 桥北澳林广场精装修合作公寓,万江共和新城地和苑,700,http://nj.58.com/hezu/32655469882190x.shtml
单间 | 弘扬商圈对面天润城十六街区南区精装单间,桥北,750,http://nj.58.com/hezu/31144573693495x.shtml
整租 | 市政天元城 1室1厅1卫,科学园,2100,http://nj.58.com/zufang/32655471657789x.shtml
单间 | 个人出租 风和日丽 天印大道100米 精装婚房,风和日丽,1350,http://nj.58.com/hezu/31714844441773x.shtml
单间 | 殷巷新寓159幢六楼 3室1厅1卫小房间小房间对外出,秣陵,550,http://nj.58.com/hezu/32383746614840x.shtml
单间 | （个人出租）胜太路附近胜利新寓首次出租3居中的1间精,胜利新寓,800,http://nj.58.com/hezu/32577515791551x.shtml
单间 | 可短租 万达旁 玉堂花园 交通便利 精装修 可做饭,玉堂花园,1000,http://nj.58.com/hezu/32655472649135x.shtml
整租 | 观城国际 2室1厅1卫,观城国际,4950,http://nj.58.com/zufang/32545524495438x.shtml
单间 | 个人出租 建邺奥体双和园 雨润大街地铁口,双和园,1300,http://nj.58.com/hezu/32655466644910x.shtml
整租 | 慕加公寓 1室1厅1卫,集庆门,2700,http://nj.58.com/zufang/32613243575357x.shtml
单间 | 望江矶二号小区 2室1厅1卫 限女生 押一付三,望江矶二号小区,1300,http://nj.58.com/hezu/32334602423473x.shtml
单间 | 万达附近外港新村 3室1厅 主卧 朝南 精装修可短租,外港新村,900,http://nj.58.com/hezu/32655462561357x.shtml
整租 | 江南名府 3室1厅1卫,江南名府,4300,http://nj.58.com/zufang/32655463461289x.shtml
单间 | 【合租】雨花台铁心桥韩府山庄精装修 靠近S3地铁站,韩府山庄,800,http://nj.58.com/hezu/32400702150088x.shtml
单间 | 个人 胜太路 同曦大厦附近 湖东音乐苑主卧 精装朝南,湖东音乐苑,800,http://nj.58.com/hezu/32525194891338x.shtml
单间 | 莲花新城北苑 油坊桥地铁站二号口对面,莲花新城北苑,750,http://nj.58.com/hezu/32588935886522x.shtml
单间 | 个人出租 西善桥友谊公寓 次卧 朝南 精装修 靠着天,西善桥,800,http://nj.58.com/hezu/32599520929727x.shtml
单间 | 江宁东山东渡国际青年 3室1厅 主卧 朝南 精装修可,东渡国际青年城,500,http://nj.58.com/hezu/31471879518900x.shtml
单间 | 【个人出租】明发一期精装单间600元 可长租短租,明发滨江新城一期,600,http://nj.58.com/hezu/32291954463789x.shtml
单间 | 燕舞园 3室1厅1卫 男女不限,燕舞园,650,http://nj.58.com/hezu/32607178092622x.shtml
单间 | 地铁主卧次卧600-800元 明发三期 可短租,明发滨江新城三期,600,http://nj.58.com/hezu/32268675172422x.shtml
整租 | 中南园 2室1厅1卫,中南园,2800,http://nj.58.com/zufang/32633114446377x.shtml
整租 | 润富花园 2室2厅1卫,润富花园,2200,http://nj.58.com/zufang/25603186283964x.shtml
整租 | 朗诗未来家 2室1厅1卫,朗诗未来家,1300,http://nj.58.com/zufang/32614398740146x.shtml
单间 | 新城香悦澜山 主卧 朝南 独立阳台 设施齐全 精装修,新城香悦澜山,600,http://nj.58.com/hezu/32622026475187x.shtml
单间 | 个人 明发一期 单间600-800元 非中介,明发滨江新城一期,600,http://nj.58.com/hezu/32268616684729x.shtml
整租 | 一品骊城 1室1厅1卫,一品骊城,800,http://nj.58.com/zufang/32569020148395x.shtml
单间 | 望江矶二号小区 2室1厅1卫 限女生 押一付三,望江矶二号小区,1300,http://nj.58.com/hezu/32334520879674x.shtml
单间 | 雨花台铁心桥凤翔新城一期 4室1厅 次卧 朝南 精装,凤翔新城一期,1100,http://nj.58.com/hezu/32645182915127x.shtml
单间 | 个人出租 建邺奥体双和园 雨润大街地铁口,双和园,1300,http://nj.58.com/hezu/32655466644910x.shtml
单间 | （个人出租）胜太路附近胜利新寓 首次出租精装修,胜利新寓,900,http://nj.58.com/hezu/32633707763396x.shtml
整租 | 泰来苑 2室2厅1卫,泰来苑,2000,http://nj.58.com/zufang/32655458414152x.shtml
单间 | 东山板块 明月花园 精装主卧 带阳台朝南 急租,东山,750,http://nj.58.com/hezu/32128277139517x.shtml
整租 | 泰格公寓 1室1厅1卫,马群,2600,http://nj.58.com/zufang/32626555527870x.shtml
单间 | 天元西路地铁口 精装修 主卧独卫 百家湖伦敦城 临近,开发区,1400,http://nj.58.com/hezu/30777142362573x.shtml
单间 | 可住两人 万达附近 东山步行街 精装修 可做饭 低价,东山,800,http://nj.58.com/hezu/32104321410754x.shtml
单间 | 华汇康城 4室2厅2卫 男女不限,麒麟门,450,http://nj.58.com/hezu/32292095543887x.shtml
单间 | 个人出租 九龙湖地铁站 骏景华庭 合租月付,骏景华庭,1200,http://nj.58.com/hezu/32205432799806x.shtml
单间 | 王府园 2室1厅1卫 限女生,升州路,1100,http://nj.58.com/hezu/32335351979447x.shtml
单间 | 可押一付一【地铁 明发三期】单间600元,明发滨江新城三期,600,http://nj.58.com/hezu/32268745881778x.shtml
整租 | 荣盛阿尔卡迪亚天玑苑 2室2厅1卫,荣盛阿尔卡迪亚天玑苑,1500,http://nj.58.com/zufang/32643834141997x.shtml
单间 | 个人出租龙眠大道地铁口天景山荣华苑新房3居中的一间可,天景山公寓如意苑,600,http://nj.58.com/hezu/32268527080751x.shtml
整租 | 舸舫园小区 2室1厅1卫,舸舫园小区,3000,http://nj.58.com/zufang/32290885067453x.shtml
单间 | 【个人】桥北弘阳广场旁 精装主卧带阳台出租 家电齐全,弘阳旭日上城三区,500,http://nj.58.com/hezu/32483154330417x.shtml
单间 | 自己拍的翠玲银河 3室1厅1卫 男女不限,铁心桥,700,http://nj.58.com/hezu/32589189721153x.shtml
单间 | 自家房 精装独卫出租 可月付 支持免押金 明发珠江国,明发珠江国际,1200,http://nj.58.com/hezu/32655459634243x.shtml
单间 | {个人}浦口桥北精装主卧朝南出租 五分钟到地铁口 可,南京,500,http://nj.58.com/hezu/32389955010483x.shtml
单间 | 燕舞园 3室1厅1卫 男女不限,燕舞园,650,http://nj.58.com/hezu/32607178092622x.shtml
单间 | 地铁主卧次卧600-800元 明发三期 可短租,明发滨江新城三期,600,http://nj.58.com/hezu/32268675172422x.shtml
单间 | 市政天元城 带阳台主卧 竹山路地铁 图片实拍 看房方,科学园,1049,http://nj.58.com/hezu/32159621558060x.shtml
单间 | 春江佳园 三江学院附近 小区合租,春江佳园,750,http://nj.58.com/hezu/32644452889525x.shtml
单间 | 迈皋桥万寿中铁青秀城 3室1厅1卫主卧带飘窗 可月付,中铁青秀城,750,http://nj.58.com/hezu/32325481182635x.shtml
单间 | 个人急租 花神庙地铁站 翠岛花城 合租单间,翠岛花城,1100,http://nj.58.com/hezu/32193276581170x.shtml
单间 | 个人出租 诚信大道地铁站 珑湾花园 合租月付,开发区,1100,http://nj.58.com/hezu/32013135512891x.shtml
单间 | （个人出租）胜太西路附近太平花苑首次出租3居中的1间,太平花苑北区,1000,http://nj.58.com/hezu/32411936516419x.shtml
单间 | 百水芊城云水坊个人转租次卧无,百水芊城云水坊,900,http://nj.58.com/hezu/32468665960234x.shtml
单间 | 望江矶二号小区 2室1厅1卫 限女生 押一付三,望江矶二号小区,1300,http://nj.58.com/hezu/32334520879674x.shtml
整租 | 青桐园 3室2厅1卫,青桐园,6500,http://nj.58.com/zufang/32468829684795x.shtml
单间 | 个人急租 秣周东路地铁站翠屏诚园 合租月付,翠屏诚园(南区),1300,http://nj.58.com/hezu/32205506075567x.shtml
单间 | 东山板块 明月花园 精装主卧 带阳台朝南 急租,东山,750,http://nj.58.com/hezu/32128277139517x.shtml
单间 | 雨花台铁心桥银杏山庄 4室1厅 次卧 朝南 精装修,银杏山庄,900,http://nj.58.com/hezu/32645157768895x.shtml
单间 | （个人出租）河定桥附近东平雅苑 首次出租精装修,东平雅苑,800,http://nj.58.com/hezu/32621980058061x.shtml
单间 | s3地铁翔花园 3室1厅1卫 男女不限,铁心桥,800,http://nj.58.com/hezu/32458294446285x.shtml
单间 | （全女生）江宁东山江宁万达广场东平雅苑 精装3室 次,东平雅苑,950,http://nj.58.com/hezu/32655450072250x.shtml
单间 | 地铁口莲花新城北苑 4室1厅1卫 男女不限,莲花新城北苑,600,http://nj.58.com/hezu/32589565528501x.shtml
单间 | 翠屏山旁托乐嘉花园小区合租单间精装修个人房源,托乐嘉花园,1000,http://nj.58.com/hezu/32577761945647x.shtml
单间 | 盛景华庭北苑 4室1厅1卫 限女生,江浦,800,http://nj.58.com/hezu/32655448459085x.shtml
单间 | 桥北 天润城12街区 单间600元 可短租,天润城第十二街区,600,http://nj.58.com/hezu/32268921334063x.shtml
单间 | 活动房源 河定桥地铁 金王府 精装修 低价出租 非隔,东山,1250,http://nj.58.com/hezu/32145549567794x.shtml
单间 | 华保新寓 1室 男女不限,华保新寓,800,http://nj.58.com/hezu/32195227779510x.shtml
单间 | 【个人】浦口桥北天润城11街区 精装主卧朝南带阳台,桥北,500,http://nj.58.com/hezu/32482832990506x.shtml
单间 | 个人出租湖滨公寓小区合租单间精装修胜太路旁,湖滨公寓东区,1200,http://nj.58.com/hezu/32567008036420x.shtml
单间 | 七彩星城 油坊桥地铁站一号口对面,铁心桥,750,http://nj.58.com/hezu/32522629304648x.shtml
整租 | 迈皋桥燕江新城燕雅苑 2室1厅1卫,万寿,1500,http://nj.58.com/zufang/32479575388849x.shtml
单间 | 江宁岔路口左邻右里 3室2厅 主卧 朝南 精装修可月,左邻右里,1050,http://nj.58.com/hezu/30432476949581x.shtml
单间 | 玄武丹凤街相府营小区 3室1厅 主卧 朝南 中等装修,相府营小区,1150,http://nj.58.com/hezu/32284297147714x.shtml
单间 | 居家装修 步行街旁 嘉顺时代广场 朝南 可做饭 急租,东山,899,http://nj.58.com/hezu/32089950903883x.shtml
整租 | 东井村 2室1厅 45平米 简单装修 押一付三 离地,东井村,2000,http://nj.58.com/zufang/26720904014637x.shtml
整租 | 清荷园北园 2室1厅1卫,清荷园北园,2300,http://nj.58.com/zufang/32489509511743x.shtml
单间 | 个人急租 双龙大道地铁 左邻右里 合租月付,左邻右里,900,http://nj.58.com/hezu/32201731499982x.shtml
单间 | 油坊桥地铁七彩星城国学府 4室1厅1卫 男女不限,七彩星城国学府,700,http://nj.58.com/hezu/32589498934469x.shtml
单间 | 浦口江浦明发新城中心 3室2厅 次卧 带阳台,明发新城中心,950,http://nj.58.com/hezu/32580794469584x.shtml
单间 | 个人出租竹山路地铁口武夷绿洲独卫首租3居中的一间可月,科学园,800,http://nj.58.com/hezu/32268779413051x.shtml
单间 | 个人急租 花神庙地铁站翠岛花城 合租月付,翠岛花城兰芷苑,1250,http://nj.58.com/hezu/32201912733362x.shtml
单间 | 地铁【威尼斯一街】单间700元 可短租,威尼斯水城第一街区,700,http://nj.58.com/hezu/32268845827000x.shtml
单间 | 个人出租江龙眠大道地铁口天景山公寓3居中的一间可月付,天景山公寓如意苑,700,http://nj.58.com/hezu/32424929353795x.shtml
整租 | 紫金柳苑 3室1厅1卫,紫金柳苑,3200,http://nj.58.com/zufang/32169990702252x.shtml
单间 | （个人出租）河定桥附近东平雅苑 首次出租精装修,东平雅苑,800,http://nj.58.com/hezu/32621980058061x.shtml
整租 | 潭桥公寓北园 2室1厅1卫,潭桥公寓北园,2300,http://nj.58.com/zufang/32250109541576x.shtml
单间 | 华侨绿洲 好房出租图片真实,泰山,750,http://nj.58.com/hezu/19935850622730x.shtml
单间 | 个人出租武夷绿洲小区合租单间精装修竹山路旁边,武夷绿洲观竹苑,1200,http://nj.58.com/hezu/32555519801772x.shtml
单间 | 江宁开发区殷巷新寓 2室1厅 朝南 精装修 合租,殷巷新寓,800,http://nj.58.com/hezu/32401829992906x.shtml
单间 | 翠屏山旁托乐嘉花园小区合租单间精装修个人房源,托乐嘉花园,1000,http://nj.58.com/hezu/32577761945647x.shtml
单间 | 莱蒙水榭阳光119平无隔断次卧带飘窗,莱蒙水榭阳光,1000,http://nj.58.com/hezu/30696833240511x.shtml
单间 | 盛景华庭北苑 4室1厅1卫 限女生,江浦,800,http://nj.58.com/hezu/32655448459085x.shtml
单间 | 江宁万达 万欣翠园 次卧600元 便宜甩租了,万欣翠园,600,http://nj.58.com/hezu/32502311651498x.shtml
单间 | 桥北 天润城12街区 单间600元 可短租,天润城第十二街区,600,http://nj.58.com/hezu/32268921334063x.shtml
单间 | 3室1厅1卫 男女不限,秦虹,750,http://nj.58.com/hezu/32501749693384x.shtml
单间 | 华保新寓 1室 男女不限,华保新寓,800,http://nj.58.com/hezu/32195227779510x.shtml
单间 | 迈皋桥红山紫金墨香苑 4室1厅 主卧 朝南 中等装修,紫金墨香苑,500,http://nj.58.com/hezu/31338606510136x.shtml
单间 | 个人出租湖滨公寓小区合租单间精装修胜太路旁,湖滨公寓东区,1200,http://nj.58.com/hezu/32567008036420x.shtml
单间 | 胜太西路旁湖滨世纪花园小区合租单间精装修个人出租,湖滨世纪花园春水苑,1200,http://nj.58.com/hezu/32566704489790x.shtml
单间 | 七彩星城 油坊桥地铁站一号口对面,铁心桥,750,http://nj.58.com/hezu/32522629304648x.shtml
单间 | 鼓楼水佐岗水佑岗20号 3室1厅 次卧 朝南 精装修,水佑岗20号小区,面议,http://nj.58.com/hezu/32544839185085x.shtml
单间 | 万达旁玉堂花园小区合租单间精装修个人出租,玉堂花园,1200,http://nj.58.com/hezu/32566730851135x.shtml
单间 | 地铁口 明发三期 单间700元 可短租 长租,明发滨江新城三期,700,http://nj.58.com/hezu/32304453417907x.shtml
单间 | 个人出租 可短租 胜太路 岔路口江宁开发区胜利新村,胜利新村,1000,http://nj.58.com/hezu/32546151222959x.shtml
单间 | 华侨城 3室1厅1卫 男女不限,华侨城,500,http://nj.58.com/hezu/32655442380494x.shtml
单间 | 雨花台铁心桥定坊和苑紧邻苏果超市科创城家电家具全齐！,定坊和苑,780,http://nj.58.com/hezu/32644662270280x.shtml
整租 | 东井村 2室1厅 45平米 简单装修 押一付三 离地,东井村,2000,http://nj.58.com/zufang/26720904014637x.shtml
单间 | 韩府新苑 大周路附近 小区合租,韩府新苑,750,http://nj.58.com/hezu/32555991868600x.shtml
单间 | 殷巷附近恒大绿洲 婚房装修 3室2厅 大房间 带阳台,恒大绿洲,1200,http://nj.58.com/hezu/32027571778612x.shtml
单间 | 雨花台铁心桥春江花园 4室1厅 主卧 朝南 精装修,春江花园,700,http://nj.58.com/hezu/32625041669309x.shtml
单间 | 个人出租 双龙大道地铁口附近南方花园 首次出租,东山,800,http://nj.58.com/hezu/32644072369594x.shtml
单间 | 太平花苑南区 3室1厅 主卧 朝南 精装修 房间挺大,太平花苑南区,1000,http://nj.58.com/hezu/32027674422732x.shtml
单间 | 一号线 双龙大道 步行五分钟 武夷商城 自己房子出租,武夷商城,900,http://nj.58.com/hezu/32124719021901x.shtml
单间 | 胜太路地铁口 胜利新村 居家装修 主卧朝南 看房方便,开发区,1000,http://nj.58.com/hezu/32148355269057x.shtml
整租 | 旭日爱上城5期 3室2厅1卫,旭日爱上城5期,2000,http://nj.58.com/zufang/32512105966148x.shtml
单间 | 雨花台铁心桥春江花园 4室1厅 次卧 朝南 精装修,春江花园,900,http://nj.58.com/hezu/32645051557956x.shtml
整租 | 晨光公寓 1室1厅1卫,晨光公寓,1500,http://nj.58.com/zufang/32224649482051x.shtml
单间 | 莱蒙水榭阳光119平无隔断次卧带飘窗,莱蒙水榭阳光,1000,http://nj.58.com/hezu/30696833240511x.shtml
单间 | 江宁万达 万欣翠园 次卧600元 便宜甩租了,万欣翠园,600,http://nj.58.com/hezu/32502311651498x.shtml
单间 | 可以短租 龙湖文馨苑 2室1厅的 带阳台 带露台 同,龙湖文馨苑,1500,http://nj.58.com/hezu/32027508983605x.shtml
单间 | 中华门地铁口 虹悦城 雨花台景区 普德花园 精装修,普德花园,1200,http://nj.58.com/hezu/32503136220494x.shtml
整租 | 戴家巷小区 1室1厅1卫,戴家巷小区,1600,http://nj.58.com/zufang/32645661391671x.shtml
单间 | 3室1厅1卫 男女不限,秦虹,750,http://nj.58.com/hezu/32501749693384x.shtml
单间 | 个人出租宏运大道旁左邻右里合租单间精装修,左邻右里,1200,http://nj.58.com/hezu/32555447390148x.shtml
整租 | 升景坊 3室1厅1卫,升景坊,3100,http://nj.58.com/zufang/32456337937715x.shtml
单间 | 胜太西路旁湖滨世纪花园小区合租单间精装修个人出租,湖滨世纪花园春水苑,1200,http://nj.58.com/hezu/32566704489790x.shtml
单间 | 急租 ！！马群公寓 主卧 大阳台,马群公寓,1300,http://nj.58.com/hezu/32590563486032x.shtml
单间 | 个人地铁单间700元 威尼斯一街区、可月付,威尼斯水城第五街区,700,http://nj.58.com/hezu/32304508444588x.shtml
单间 | 万达旁玉堂花园小区合租单间精装修个人出租,玉堂花园,1200,http://nj.58.com/hezu/32566730851135x.shtml
单间 | 个人出租 可短租 胜太路 岔路口江宁开发区胜利新村,胜利新村,1000,http://nj.58.com/hezu/32546151222959x.shtml
整租 | 南京航空航天大学金城学校 1室1厅1卫,江宁,450,http://nj.58.com/zufang/32592388015797x.shtml
单间 | 华侨城 3室1厅1卫 男女不限,华侨城,500,http://nj.58.com/hezu/32655442380494x.shtml
单间 | 雨花台铁心桥定坊和苑紧邻苏果超市科创城家电家具全齐！,定坊和苑,780,http://nj.58.com/hezu/32644662270280x.shtml
单间 | 个人出租胜太路旁的艺术家园合租单间精装修,艺术家园,1200,http://nj.58.com/hezu/32555477011247x.shtml
单间 | 韩府新苑 大周路附近 小区合租,韩府新苑,750,http://nj.58.com/hezu/32555991868600x.shtml
整租 | 滨江馨园 2室1厅1卫,滨江馨园,1800,http://nj.58.com/zufang/32655438831941x.shtml
整租 | 月苑三村 1室1厅1卫,月苑三村,2100,http://nj.58.com/zufang/32279673734468x.shtml
单间 | 殷巷附近恒大绿洲 婚房装修 3室2厅 大房间 带阳台,恒大绿洲,1200,http://nj.58.com/hezu/32027571778612x.shtml
单间 | 雨花台铁心桥春江花园 4室1厅 主卧 朝南 精装修,春江花园,700,http://nj.58.com/hezu/32625041669309x.shtml
整租 | 绿苑小区 3室2厅2卫,绿苑,3300,http://nj.58.com/zufang/24864690154178x.shtml
单间 | 个人出租竹山路旁武夷绿洲小区合租单间精装修,武夷绿洲观竹苑,1200,http://nj.58.com/hezu/32522276618570x.shtml
单间 | 雨花台铁心桥银杏山庄 4室1厅 次卧 朝南 精装修,银杏山庄,900,http://nj.58.com/hezu/32645024789038x.shtml
整租 | 摄山星城步青苑 2室2厅1卫,摄山星城步青苑,1300,http://nj.58.com/zufang/32655438735543x.shtml
单间 | 一号线 双龙大道 步行五分钟 武夷商城 自己房子出租,武夷商城,900,http://nj.58.com/hezu/32124719021901x.shtml
单间 | 胜太路地铁口 胜利新村 居家装修 主卧朝南 看房方便,开发区,1000,http://nj.58.com/hezu/32148355269057x.shtml
整租 | 栖霞区燕子矶新城 2室1厅1卫,燕子矶,1450,http://nj.58.com/zufang/32637391276621x.shtml
整租 | 七彩星城幸福里 2室1厅1卫,七彩星城幸福里,2800,http://nj.58.com/zufang/32635407576895x.shtml
整租 | 春江新城新河苑 3室1厅1卫,春江新城新河苑,3500,http://nj.58.com/zufang/31717228134833x.shtml
整租 | 中天铭廷 2室1厅1卫,中天铭廷,3000,http://nj.58.com/zufang/31009305110844x.shtml
单间 | 珍珠雅苑 4室1厅1卫 男女不限,珍珠雅苑,400,http://nj.58.com/hezu/31902953541301x.shtml
整租 | 升景坊 3室1厅1卫,升景坊,3100,http://nj.58.com/zufang/32456337937715x.shtml
单间 | 栖霞马群马群地铁口旁 1室1厅 主卧 朝南北 简单装,马群,300,http://nj.58.com/hezu/32534540926396x.shtml
单间 | 油坊桥地铁口 莲花新城北苑 朝南次卧 采光好 有厨房,莲花新城北苑,800,http://nj.58.com/hezu/32500589118261x.shtml
单间 | 个人出租艺术家园合租单间精装修无胜太路,艺术家园,1250,http://nj.58.com/hezu/32500464175677x.shtml
单间 | 个人地铁单间700元 威尼斯一街区、可月付,威尼斯水城第五街区,700,http://nj.58.com/hezu/32304508444588x.shtml
整租 | 春江佳园-13幢 4室1厅1卫,铁心桥,3999,http://nj.58.com/zufang/32624997553462x.shtml
单间 | 21世纪国际公寓合租单间精装修百家湖个人,21世纪国际公寓东区,1100,http://nj.58.com/hezu/32500769750186x.shtml
单间 | 万达广场旁东平雅苑小区合租单间精装修个人出租,东平雅苑,1150,http://nj.58.com/hezu/32511285175084x.shtml
单间 | 韩府山庄 大周路与管道路交叉口,韩府山庄,750,http://nj.58.com/hezu/32588876757823x.shtml
单间 | 小市街286号小区 2室1厅1卫（可月付） 男女不限,鼓楼,850,http://nj.58.com/hezu/29669283389100x.shtml
单间 | 张府园地铁口 龙吟大厦 红十字医院 火瓦巷,金盾公寓,1550,http://nj.58.com/hezu/32280215806904x.shtml
单间 | 建邺奥体油坊桥地铁站莲花新城紧邻天迈广场可月付三家合,莲花新城北苑,900,http://nj.58.com/hezu/32456495384382x.shtml
整租 | 滨江馨园 2室1厅1卫,滨江馨园,1800,http://nj.58.com/zufang/32655438831941x.shtml
单间 | 双龙大道旁南方花园合租单间精装修个人出租,南方花园(东区),1150,http://nj.58.com/hezu/32511257397944x.shtml
单间 | 个人急租 1号线胜太路地铁站金王府小区 精装单间出租,金王府小区,1000,http://nj.58.com/hezu/32545285966519x.shtml
单间 | 建邺奥体莲花新城南苑地铁2号线S3号线精装修南向可月,莲花新城南苑,700,http://nj.58.com/hezu/32644776266674x.shtml
整租 | 锦绣花园 3室2厅2卫,锦绣花园,2000,http://nj.58.com/zufang/32370695700038x.shtml
单间 | 个人出租竹山路旁武夷绿洲小区合租单间精装修,武夷绿洲观竹苑,1200,http://nj.58.com/hezu/32522276618570x.shtml
单间 | 雨花台铁心桥银杏山庄 4室1厅 次卧 朝南 精装修,银杏山庄,900,http://nj.58.com/hezu/32645024789038x.shtml
整租 | 摄山星城步青苑 2室2厅1卫,摄山星城步青苑,1300,http://nj.58.com/zufang/32655438735543x.shtml
单间 | 雨花台铁心桥韩府茗苑紧邻大定坊大苏果超市科创城首选真,韩府茗苑,700,http://nj.58.com/hezu/32644755650888x.shtml
整租 | 南方花园A组团30幢106室 2室1厅1卫,南京,2700,http://nj.58.com/zufang/27250791046216x.shtml
整租 | 中天铭廷 2室1厅1卫,中天铭廷,3000,http://nj.58.com/zufang/31009305110844x.shtml
单间 | 个人出租名嘉佳园小区合租单间精装修双龙大道,名嘉佳园,1200,http://nj.58.com/hezu/32491387127864x.shtml
单间 | 个人出租 3号线胜太西路地铁站湖滨世纪花园 精装单间,湖滨世纪花园秋山苑,1200,http://nj.58.com/hezu/32544822726825x.shtml
整租 | 春江佳园-4幢 3室1厅1卫,铁心桥,3000,http://nj.58.com/zufang/32624959368119x.shtml
单间 | 桥北 明发一期 主卧次卧500-800元,明发滨江新城一期,500,http://nj.58.com/hezu/32334793789753x.shtml
单间 | 雨花台铁心桥春江花园 4室1厅 次卧 朝南 精装修,春江花园,900,http://nj.58.com/hezu/32644899797178x.shtml
单间 | 三山街地铁口 水游城 长乐路 集庆路 达莱公寓精装,达莱公寓,1200,http://nj.58.com/hezu/32502223058875x.shtml
单间 | 安德门凤翔新城一期 4室1厅 次卧 朝南 精装修,凤翔新城一期,1100,http://nj.58.com/hezu/32644966866351x.shtml
整租 | 钓鱼巷小区 2室1厅1卫,钓鱼巷小区,3300,http://nj.58.com/zufang/32655428217524x.shtml
单间 | 建邺奥体 莲花新城北苑 次卧 精装修家电齐全 油坊桥,莲花新城北苑,800,http://nj.58.com/hezu/32157786673084x.shtml
整租 | 清润园小区 2室1厅1卫,清润园小区,2500,http://nj.58.com/zufang/32622203302978x.shtml
单间 | 个人出租 金马郦城 奥体旁 河西CBD 奥体东地铁站,金马郦城东区,1400,http://nj.58.com/hezu/32655429419195x.shtml
整租 | 春江佳园-13幢 4室1厅1卫,铁心桥,3999,http://nj.58.com/zufang/32624997553462x.shtml
单间 | 21世纪国际公寓合租单间精装修百家湖个人,21世纪国际公寓东区,1100,http://nj.58.com/hezu/32500769750186x.shtml
单间 | 玄武红山紫金墨香苑 3室1厅 次卧 朝南 精装修,紫金墨香苑,700,http://nj.58.com/hezu/32655428363828x.shtml
单间 | 新街口 莱迪商城 王府大街 朝天宫,石榴园,1600,http://nj.58.com/hezu/32279061793077x.shtml
单间 | 韩府山庄 大周路与管道路交叉口,韩府山庄,750,http://nj.58.com/hezu/32588876757823x.shtml
单间 | 建邺奥体油坊桥地铁站莲花新城紧邻天迈广场可月付三家合,莲花新城北苑,900,http://nj.58.com/hezu/32456495384382x.shtml
单间 | 个人出租金王府小区合租单间精装修河定桥旁,金王府小区,1250,http://nj.58.com/hezu/32500435527989x.shtml
单间 | 万达广场旁东平雅苑小区合租单间精装修,东平雅苑,1200,http://nj.58.com/hezu/32467258905031x.shtml
单间 | 个人出租 河海大学佛城西路地铁站雍福龙庭 精装单间出,雍福龙庭,1100,http://nj.58.com/hezu/32544914660412x.shtml
单间 | 双龙大道旁南方花园合租单间精装修个人出租,南方花园(东区),1150,http://nj.58.com/hezu/32511257397944x.shtml
单间 | 个人急租 1号线胜太路地铁站金王府小区 精装单间出租,金王府小区,1000,http://nj.58.com/hezu/32545285966519x.shtml
